MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,48005,Angelina County,TX,100,0,0,0,0,0,12/31/2024,1/6/2025,1
20241224,48005,Angelina County,TX,19.06,80.94,0,0,0,0,12/24/2024,12/30/2024,1
20241217,48005,Angelina County,TX,58.4,41.6,0,0,0,0,12/17/2024,12/23/2024,1
20241210,48005,Angelina County,TX,58.87,41.13,0,0,0,0,12/10/2024,12/16/2024,1
20241203,48005,Angelina County,TX,0,100,14.11,0,0,0,12/3/2024,12/9/2024,1
20241126,48005,Angelina County,TX,0,100,14.11,0,0,0,11/26/2024,12/2/2024,1
20241119,48005,Angelina County,TX,0,100,14.11,0,0,0,11/19/2024,11/25/2024,1
20241112,48005,Angelina County,TX,0,100,14.14,0,0,0,11/12/2024,11/18/2024,1
20241105,48005,Angelina County,TX,0,100,99.18,0,0,0,11/5/2024,11/11/2024,1
20241029,48005,Angelina County,TX,0,100,99.18,66.74,0,0,10/29/2024,11/4/2024,1
20241022,48005,Angelina County,TX,0,100,98.04,0,0,0,10/22/2024,10/28/2024,1
20241015,48005,Angelina County,TX,2.02,97.98,13.7,0,0,0,10/15/2024,10/21/2024,1
20241008,48005,Angelina County,TX,2.02,97.98,14.13,0,0,0,10/8/2024,10/14/2024,1
20241001,48005,Angelina County,TX,56.42,43.58,0,0,0,0,10/1/2024,10/7/2024,1
20240924,48005,Angelina County,TX,59.82,40.18,0,0,0,0,9/24/2024,9/30/2024,1
20240917,48005,Angelina County,TX,100,0,0,0,0,0,9/17/2024,9/23/2024,1
20240910,48005,Angelina County,TX,15.69,84.31,0,0,0,0,9/10/2024,9/16/2024,1
20240903,48005,Angelina County,TX,15.72,84.28,0,0,0,0,9/3/2024,9/9/2024,1
20240827,48005,Angelina County,TX,13.65,86.35,0,0,0,0,8/27/2024,9/2/2024,1
20240820,48005,Angelina County,TX,100,0,0,0,0,0,8/20/2024,8/26/2024,1
20240813,48005,Angelina County,TX,100,0,0,0,0,0,8/13/2024,8/19/2024,1
20240806,48005,Angelina County,TX,100,0,0,0,0,0,8/6/2024,8/12/2024,1
20240730,48005,Angelina County,TX,100,0,0,0,0,0,7/30/2024,8/5/2024,1
20240723,48005,Angelina County,TX,100,0,0,0,0,0,7/23/2024,7/29/2024,1
