STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/1/1906,0,0,0,,26.1,13.9,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/2/1906,0,0,0,,27.2,11.1,23.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/3/1906,0,0,0,,26.7,13.3,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/4/1906,0,0,0,,25.6,13.3,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/5/1906,0.5,0,0,,28.3,17.8,29.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/6/1906,1,0,0,,23.9,12.2,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/7/1906,0,0,0,,18.9,2.8,13.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/8/1906,0,0,0,,22.8,6.7,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/9/1906,1.3,0,0,,20.6,16.7,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/10/1906,0,0,0,,20.6,13.9,13.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/11/1906,0,0,0,,13.9,5.6,10
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/12/1906,0,0,0,,20.6,7.8,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/13/1906,0,0,0,,25.6,11.7,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/14/1906,0,0,0,,25.6,16.1,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/15/1906,1.5,0,0,,21.7,10.6,13.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/16/1906,45,0,0,,13.3,6.1,6.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/17/1906,0.3,0,0,,7.2,4.4,6.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/18/1906,0,0,0,,7.2,0,4.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/19/1906,0,0,0,,12.2,0.6,7.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/20/1906,0,0,0,,16.7,0,13.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/21/1906,0,0,0,,21.7,0,16.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/22/1906,0,0,0,,16.7,5.6,13.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/23/1906,0,0,0,,13.3,-0.6,6.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/24/1906,0,0,0,,13.9,-1.1,9.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/25/1906,0,0,0,,15.6,5,13.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/26/1906,0,0,0,,22.2,3.9,16.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/27/1906,0,0,0,,23.3,13.3,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/28/1906,0,0,0,,21.1,12.2,12.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/29/1906,3,0,0,,18.3,8.9,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/30/1906,35.8,0,0,,20,13.3,15.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",12/31/1906,0,0,0,,15.6,3.3,11.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/1/1907,0.8,0,0,,17.8,8.3,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/2/1907,5.6,0,0,,23.3,17.2,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/3/1907,5.6,0,0,,22.2,12.8,13.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/4/1907,0,0,0,,16.1,0,12.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/5/1907,1.3,0,0,,16.1,5.6,15.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/6/1907,0,0,0,,25.6,15.6,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/7/1907,0,0,0,,26.7,18.3,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/8/1907,0,0,0,,26.7,17.8,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/9/1907,1.3,0,0,,25.6,15,15
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/10/1907,0,0,0,,15.6,8.9,14.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/11/1907,0,0,0,,25,12.8,23.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/12/1907,0,0,0,,26.1,18.3,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/13/1907,4.3,0,0,,26.1,19.4,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/14/1907,0,0,0,,27.2,19.4,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/15/1907,0,0,0,,26.1,17.2,23.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/16/1907,0,0,0,,27.8,17.2,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/17/1907,0,0,0,,26.7,18.3,25
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/18/1907,0,0,0,,25.6,17.8,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/19/1907,2.8,0,0,,23.3,13.3,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/20/1907,0,0,0,,16.1,2.2,10.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/21/1907,0,0,0,,16.7,-1.7,11.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/22/1907,0,0,0,,18.9,-1.1,15
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/23/1907,0,0,0,,20,0.6,13.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/24/1907,0,0,0,,19.4,3.3,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/25/1907,6.1,0,0,,18.3,3.9,3.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/26/1907,0,0,0,,8.9,0,7.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/27/1907,0,0,0,,9.4,2.8,5.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/28/1907,0,0,0,,12.2,-1.7,8.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/29/1907,0,0,0,,17.8,0.6,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/30/1907,0.8,0,0,,18.9,14.4,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",1/31/1907,0,0,0,,25,16.1,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/1/1907,18.5,0,0,,25.6,15,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/2/1907,0,0,0,,26.7,16.7,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/3/1907,0,0,0,,21.7,6.7,12.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/4/1907,6.4,0,0,,12.8,1.7,4.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/5/1907,0.3,0,0,,4.4,1.7,3.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/6/1907,0,0,0,,10.6,-1.7,8.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/7/1907,0,0,0,,12.2,4.4,10
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/8/1907,0,0,0,,16.1,-1.7,12.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/9/1907,0,0,0,,23.3,0,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/10/1907,0,0,0,,19.4,1.7,13.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/11/1907,0,0,0,,22.8,0.6,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/12/1907,0,0,0,,25.6,3.3,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/13/1907,0,0,0,,25,5,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/14/1907,0,0,0,,20.6,6.1,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/15/1907,0,0,0,,18.9,-1.7,15
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/16/1907,0,0,0,,22.8,0.6,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/17/1907,0,0,0,,27.2,2.2,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/18/1907,0,0,0,,24.4,8.3,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/19/1907,0.5,0,0,,22.2,9.4,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/20/1907,0,0,0,,22.8,1.7,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/21/1907,0,0,0,,26.7,4.4,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/22/1907,0,0,0,,23.3,7.2,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/23/1907,0,0,0,,24.4,12.2,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",2/24/1907,25.1,0,0,,22.8,16.7,17.2
