"cycle","exthighTemp","extlongHeat","extDry","extDryDays","extHot","extDryT","year"
1,"No","No","No","No","No","No",2001
2,"No","No","No","No","No","No",2002
3,"No","No","No","No","No","No",2003
4,"No","No","No","No","No","No",2004
5,"Yes","Yes","Yes","Yes","Yes","Yes",2005
6,"No","No","No","Yes","No","Yes",2006
7,"No","No","No","No","No","No",2007
8,"No","No","No","No","No","No",2008
9,"No","No","No","No","No","No",2009
10,"No","Yes","Yes","No","Yes","Yes",2010
11,"Yes","Yes","Yes","Yes","Yes","Yes",2011
12,"Yes","Yes","No","No","Yes","No",2012
13,"No","No","No","No","No","No",2013
14,"No","No","No","No","No","No",2014
15,"No","No","No","No","No","No",2015
16,"No","No","No","No","No","No",2016
17,"No","No","No","No","No","No",2017
18,"No","No","No","No","No","No",2018
19,"No","No","No","No","No","No",2019
20,"No","No","No","No","No","No",2020
21,"No","No","No","No","No","No",2021
22,"Yes","Yes","Yes","No","Yes","Yes",2022
23,"Yes","Yes","No","No","Yes","No",2023
24,"Yes","No","No","No","Yes","No",2024
