cycle,meanMaxT,meanMinT,hotdays,meanPrec,noPrec,burstinessRain,Rain_inter_event_time,Dsevmean,Dext,mMaxTY,mMinTY,mPrecY,mhotdaysY,mNoPrec,eMaxTY,eMinTY,ePrecY,eNoPrec,ehotdaysY,exthighTemp,extlowTemp,extlongHeat,extDry,extDryDays,extHot,extDryT
1,25.75,13.807058823529411,20,3.949411764705882,238,0.15046216947080648,3.267326732673267,0.016538461538461537,0.86,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
2,25.1613698630137,13.206027397260273,20,4.300547945205479,267,0.019141555639483946,3.7216494845360826,22.961153846153845,227.12,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,Yes,No,No,No,No,No
3,25.086575342465753,13.353424657534246,14,3.5783561643835617,267,0.011400688268868255,3.7010309278350517,30.56903846153846,313.8,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
4,25.40739726027397,14.207397260273973,10,5.452328767123287,246,0.004572833475740903,3.0677966101694913,0,0,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
5,26.901639344262296,13.951639344262295,65,2.353551912568306,289,0.06655286814537842,4.684210526315789,97.00018867924528,373.68,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,Yes,Yes,Yes,Yes,Yes
6,26.69945205479452,13.398904109589042,43,2.7895890410958906,277,0.07272090030654636,4.114942528735632,228.00557692307692,549.9,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,Yes,No,Yes
7,25.603287671232877,13.793698630136987,9,3.5282191780821917,239,0.06635554667565921,2.856,11.916346153846154,100,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
8,26.159615384615385,13.04010989010989,30,3.1678571428571427,262,0.026881830681738453,3.5445544554455446,39.425384615384615,300,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,Yes,No,No,No,No,No
9,26.043715846994534,13.618032786885246,48,3.7112021857923496,260,0.037092432905894486,3.447619047619048,56.75019230769231,300,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
10,26.216712328767123,13.241643835616438,58,2.2904109589041095,264,0.07855083226497038,3.58,118.16230769230769,437.46000000000004,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,Yes,No,Yes,No,No,Yes
11,27.783835616438356,13.397534246575342,99,2.0786301369863014,298,0.02147704774691182,5.515151515151516,1108.7894339622642,1400,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,Yes,No,Yes,Yes,Yes,Yes,Yes
12,27.355342465753424,14.700273972602739,56,3.0413698630136987,274,0.0371575577406493,3.8555555555555556,197.90557692307692,1000,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,Yes,No,No,No,No,Yes,No
13,26.408196721311477,13.448087431693988,45,3.1224043715846994,268,-0.006058085673521411,3.731958762886598,130.1246153846154,755.21,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
14,25.79808219178082,13.475549450549451,38,3.1027397260273974,265,0.011575815712255655,3.6666666666666665,63.1475,300,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
15,26.26904109589041,14.441369863013698,47,4.426849315068493,247,0.18178693963100637,3.034188034188034,122.31788461538461,756.28,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
16,26.594794520547946,14.138356164383561,30,3.798082191780822,257,0.05854496277492452,3.3551401869158877,47.39653846153846,483.36,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
17,26.244808743169397,14.637431693989072,6,3.7101092896174865,271,0.024354129372538016,3.882978723404255,27.321320754716982,233.86,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
18,25.49972222222222,13.713259668508288,35,4.170958904109589,240,0.08771879494756583,2.8951612903225805,72.49269230769231,300,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
19,24.893424657534247,13.353972602739725,23,3.5663013698630137,250,-0.059034808595034426,3.1403508771929824,3.666153846153846,67.38,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
20,26.35808219178082,14.357808219178082,28,2.7775342465753425,248,-0.01775201225273848,3.0948275862068964,65.76865384615385,448.07000000000005,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
21,26.014207650273224,13.714207650273224,37,3.501639344262295,257,-0.030571982447651767,3.3333333333333335,106.39288461538462,299.78,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,No,No,No,No,No,No,No
22,27.40164835164835,14.14478021978022,70,2.5428571428571427,273,0.12250197631473478,3.922222222222222,273.64962264150944,600,26.25254513204117,13.890623757392651,3.470621815216842,39.166666666666664,261.7916666666667,27.039334833659602,13.293777624053712,2.657609489100219,276.8162238594954,62.221736215120814,Yes,No,Yes,Yes,No,Yes,Yes
