pond,cycle,No_Spec
1,1,7
1,2,5
1,3,4
1,4,7
1,5,6
1,6,6
1,7,7
1,8,6
1,9,5
1,10,5
1,11,5
1,12,4
1,13,7
1,14,10
1,15,10
1,16,8
1,17,9
1,18,6
1,19,8
1,20,8
1,21,7
1,22,9
1,23,9
1,24,12
2,1,7
2,2,9
2,3,8
2,4,9
2,5,8
2,6,8
2,7,8
2,8,8
2,9,6
2,10,7
2,11,4
2,12,4
2,13,7
2,14,7
2,15,10
2,16,9
2,17,6
2,18,9
2,19,9
2,20,6
2,21,9
2,22,9
2,23,6
2,24,8
3,1,6
3,2,4
3,3,3
3,4,7
3,5,6
3,6,2
3,7,5
3,8,6
3,9,6
3,10,6
3,11,5
3,12,6
3,13,6
3,14,5
3,15,8
3,16,5
3,17,7
3,18,3
3,19,6
3,20,3
3,21,5
3,22,5
3,23,6
3,24,8
4,1,6
4,2,6
4,3,7
4,4,9
4,5,4
4,6,6
4,7,5
4,8,7
4,9,6
4,10,9
4,11,6
4,12,5
4,13,9
4,14,6
4,15,9
4,16,7
4,17,8
4,18,7
4,19,6
4,20,5
4,21,5
4,22,6
4,23,6
4,24,7
5,1,9
5,2,10
5,3,6
5,4,10
5,5,10
5,6,8
5,7,10
5,8,9
5,9,10
5,10,10
5,11,10
5,12,10
5,13,9
5,14,10
5,15,11
5,16,8
5,17,10
5,18,11
5,19,10
5,20,10
5,21,8
5,22,9
5,23,7
5,24,6
6,1,10
6,2,12
6,3,11
6,4,10
6,5,10
6,6,9
6,7,10
6,8,10
6,9,11
6,10,10
6,11,10
6,12,9
6,13,10
6,14,10
6,15,10
6,16,12
6,17,9
6,18,8
6,19,12
6,20,10
6,21,10
6,22,8
6,23,7
6,24,7
7,1,9
7,2,8
7,3,7
7,4,6
7,5,6
7,6,6
7,7,8
7,8,7
7,9,8
7,10,9
7,11,7
7,12,7
7,13,7
7,14,8
7,15,9
7,16,8
7,17,8
7,18,10
7,19,8
7,20,5
7,21,10
7,22,7
7,23,8
7,24,6
8,1,10
8,2,10
8,3,8
8,4,10
8,5,10
8,6,10
8,7,7
8,8,12
8,9,10
8,10,11
8,11,8
8,12,9
8,13,11
8,14,10
8,15,10
8,16,9
8,17,8
8,18,7
8,19,8
8,20,8
8,21,9
8,22,10
8,23,9
8,24,9
