pond,cycle,starting_state,end_state,weight
1,1,BW,HV,1
1,1,BW,"HV,RS",1
1,1,"BW,HV",BW,1
1,1,"BW,HV","BW,HV,RS",1
1,1,"BW,HV","HV,RS",1
1,1,"BW,HV,RS","BW,HV",1
1,1,"GC,HV",HV,1
1,1,"GC,HV,RS","HV,RS",2
1,1,"GC,RS","GC,HV,RS",1
1,1,"HC,HV",HV,1
1,1,"HC,HV,RS","HV,RS",1
1,1,"HC,HV,RS",RS,1
1,1,HV,"BW,HV",2
1,1,HV,"GC,HV,RS",1
1,1,HV,"HV,RS",4
1,1,HV,RS,1
1,1,HV,none,5
1,1,"HV,RCA","HV,RCA,RS",2
1,1,"HV,RCA,RS","HV,RCA",2
1,1,"HV,RCA,RS",none,1
1,1,"HV,RS",BW,1
1,1,"HV,RS","GC,HV",1
1,1,"HV,RS","HC,HV",1
1,1,"HV,RS","HC,HV,RS",2
1,1,"HV,RS",HV,5
1,1,"HV,RS","HV,RCA,RS",1
1,1,"HV,RS",RS,2
1,1,"HV,RS",none,1
1,1,PC,"PC,RS",2
1,1,"PC,RS",PC,2
1,1,"PC,RS",RS,4
1,1,RS,"GC,RS",1
1,1,RS,HV,1
1,1,RS,"HV,RS",2
1,1,RS,"PC,RS",3
1,1,RS,none,18
1,1,none,HV,4
1,1,none,"HV,RS",3
1,1,none,RS,18
1,2,HC,"HC,HV",1
1,2,HC,HV,1
1,2,HC,none,6
1,2,"HC,HV",HV,1
1,2,"HC,RCA",HC,1
1,2,HV,"HC,RCA",1
1,2,HV,none,1
1,2,"HV,RS",RS,1
1,2,"HV,RS",none,1
1,2,PC,none,1
1,2,RCA,none,1
1,2,RS,"HV,RS",1
1,2,RS,none,22
1,2,none,HC,7
1,2,none,"HV,RS",1
1,2,none,PC,1
1,2,none,RCA,1
1,2,none,RS,22
1,3,"HC,HV",none,1
1,3,HV,"HC,HV",1
1,3,HV,"HV,RS",1
1,3,HV,"PC,RS",1
1,3,HV,none,13
1,3,"HV,RS",RS,1
1,3,PC,"PC,RS",2
1,3,PC,RS,1
1,3,PC,none,5
