pond,cycle,vertex.id,species
1,1,1,BW
1,1,2,GC
1,1,3,HC
1,1,4,HV
1,1,5,PC
1,1,6,RCA
1,1,7,RS
1,2,1,HC
1,2,2,HV
1,2,3,PC
1,2,4,RCA
1,2,5,RS
1,3,1,HC
1,3,2,HV
1,3,3,PC
1,3,4,RS
1,4,1,GC
1,4,2,HC
1,4,3,HV
1,4,4,PC
1,4,5,RCA
1,4,6,RCL
1,4,7,RS
1,5,1,BV
1,5,2,HC
1,5,3,HV
1,5,4,PC
1,5,5,RCL
1,5,6,RS
1,6,1,BV
1,6,2,HC
1,6,3,HV
1,6,4,PC
1,6,5,RCL
1,6,6,RS
1,7,1,BV
1,7,2,BW
1,7,3,HC
1,7,4,HV
1,7,5,PC
1,7,6,RCL
1,7,7,RS
1,8,1,BV
1,8,2,HC
1,8,3,HV
1,8,4,PC
1,8,5,RCL
1,8,6,RS
1,9,1,BV
1,9,2,HC
1,9,3,HV
1,9,4,PC
1,9,5,RS
1,10,1,BV
1,10,2,BW
1,10,3,HV
1,10,4,PC
1,10,5,RS
1,11,1,BV
1,11,2,HV
1,11,3,PC
1,11,4,RCL
1,11,5,RS
1,12,1,HV
1,12,2,PC
1,12,3,RCL
1,12,4,RS
1,13,1,BV
1,13,2,BW
1,13,3,HC
1,13,4,HV
1,13,5,PC
1,13,6,RCL
1,13,7,RS
1,14,1,AC
1,14,2,BV
1,14,3,BW
1,14,4,GC
1,14,5,HC
1,14,6,HV
1,14,7,PC
1,14,8,PT
1,14,9,RCA
1,14,10,RS
1,15,1,AC
1,15,2,BV
1,15,3,GC
1,15,4,HC
1,15,5,HV
1,15,6,PC
1,15,7,PT
1,15,8,RCL
1,15,9,RP
1,15,10,RS
1,16,1,AC
1,16,2,BV
1,16,3,HV
1,16,4,PC
1,16,5,PT
1,16,6,RCL
1,16,7,RP
1,16,8,RS
1,17,1,AC
1,17,2,BV
1,17,3,GC
1,17,4,HC
1,17,5,HV
1,17,6,PC
