pond,cycle,n_species,min_id,max_id,id_range_valid
1,1,7,1,7,TRUE
1,2,5,1,5,TRUE
1,3,4,1,4,TRUE
1,4,7,1,7,TRUE
1,5,6,1,6,TRUE
1,6,6,1,6,TRUE
1,7,7,1,7,TRUE
1,8,6,1,6,TRUE
1,9,5,1,5,TRUE
1,10,5,1,5,TRUE
1,11,5,1,5,TRUE
1,12,4,1,4,TRUE
1,13,7,1,7,TRUE
1,14,10,1,10,TRUE
1,15,10,1,10,TRUE
1,16,8,1,8,TRUE
1,17,9,1,9,TRUE
1,18,6,1,6,TRUE
1,19,8,1,8,TRUE
1,20,8,1,8,TRUE
1,21,7,1,7,TRUE
1,22,9,1,9,TRUE
1,23,9,1,9,TRUE
1,24,12,1,12,TRUE
2,1,7,1,7,TRUE
2,2,9,1,9,TRUE
2,3,8,1,8,TRUE
2,4,9,1,9,TRUE
2,5,8,1,8,TRUE
2,6,8,1,8,TRUE
2,7,8,1,8,TRUE
2,8,8,1,8,TRUE
2,9,6,1,6,TRUE
2,10,7,1,7,TRUE
2,11,4,1,4,TRUE
2,12,4,1,4,TRUE
2,13,7,1,7,TRUE
2,14,7,1,7,TRUE
2,15,10,1,10,TRUE
2,16,9,1,9,TRUE
2,17,6,1,6,TRUE
2,18,9,1,9,TRUE
2,19,9,1,9,TRUE
2,20,6,1,6,TRUE
2,21,9,1,9,TRUE
2,22,9,1,9,TRUE
2,23,6,1,6,TRUE
2,24,8,1,8,TRUE
3,1,6,1,6,TRUE
3,2,4,1,4,TRUE
3,3,3,1,3,TRUE
3,4,7,1,7,TRUE
3,5,6,1,6,TRUE
3,6,2,1,2,TRUE
3,7,5,1,5,TRUE
3,8,6,1,6,TRUE
3,9,6,1,6,TRUE
3,10,6,1,6,TRUE
3,11,5,1,5,TRUE
3,12,6,1,6,TRUE
3,13,6,1,6,TRUE
3,14,5,1,5,TRUE
3,15,8,1,8,TRUE
3,16,5,1,5,TRUE
3,17,7,1,7,TRUE
3,18,3,1,3,TRUE
3,19,6,1,6,TRUE
3,20,3,1,3,TRUE
3,21,5,1,5,TRUE
3,22,5,1,5,TRUE
3,23,6,1,6,TRUE
3,24,8,1,8,TRUE
3,25,1,1,1,TRUE
4,1,6,1,6,TRUE
4,2,6,1,6,TRUE
4,3,7,1,7,TRUE
4,4,9,1,9,TRUE
4,5,4,1,4,TRUE
4,6,6,1,6,TRUE
4,7,5,1,5,TRUE
4,8,7,1,7,TRUE
4,9,6,1,6,TRUE
4,10,9,1,9,TRUE
4,11,6,1,6,TRUE
4,12,5,1,5,TRUE
4,13,9,1,9,TRUE
4,14,6,1,6,TRUE
4,15,9,1,9,TRUE
4,16,7,1,7,TRUE
4,17,8,1,8,TRUE
4,18,7,1,7,TRUE
4,19,6,1,6,TRUE
4,20,5,1,5,TRUE
4,21,5,1,5,TRUE
4,22,6,1,6,TRUE
4,23,6,1,6,TRUE
4,24,7,1,7,TRUE
5,1,9,1,9,TRUE
5,2,10,1,10,TRUE
5,3,6,1,6,TRUE
5,4,10,1,10,TRUE
5,5,10,1,10,TRUE
5,6,8,1,8,TRUE
5,7,10,1,10,TRUE
5,8,9,1,9,TRUE
5,9,10,1,10,TRUE
5,10,10,1,10,TRUE
5,11,10,1,10,TRUE
5,12,10,1,10,TRUE
5,13,9,1,9,TRUE
5,14,10,1,10,TRUE
5,15,11,1,11,TRUE
5,16,8,1,8,TRUE
5,17,10,1,10,TRUE
5,18,11,1,11,TRUE
5,19,10,1,10,TRUE
5,20,10,1,10,TRUE
5,21,8,1,8,TRUE
5,22,9,1,9,TRUE
5,23,7,1,7,TRUE
5,24,6,1,6,TRUE
5,25,2,1,2,TRUE
6,1,10,1,10,TRUE
6,2,12,1,12,TRUE
6,3,11,1,11,TRUE
6,4,10,1,10,TRUE
6,5,10,1,10,TRUE
6,6,9,1,9,TRUE
6,7,10,1,10,TRUE
6,8,10,1,10,TRUE
6,9,11,1,11,TRUE
6,10,10,1,10,TRUE
6,11,10,1,10,TRUE
6,12,9,1,9,TRUE
6,13,10,1,10,TRUE
6,14,10,1,10,TRUE
6,15,10,1,10,TRUE
6,16,12,1,12,TRUE
6,17,9,1,9,TRUE
6,18,8,1,8,TRUE
6,19,12,1,12,TRUE
6,20,10,1,10,TRUE
6,21,10,1,10,TRUE
6,22,8,1,8,TRUE
6,23,7,1,7,TRUE
6,24,7,1,7,TRUE
6,25,2,1,2,TRUE
7,1,9,1,9,TRUE
7,2,8,1,8,TRUE
7,3,7,1,7,TRUE
7,4,6,1,6,TRUE
7,5,6,1,6,TRUE
7,6,6,1,6,TRUE
7,7,8,1,8,TRUE
7,8,7,1,7,TRUE
7,9,8,1,8,TRUE
7,10,9,1,9,TRUE
7,11,7,1,7,TRUE
7,12,7,1,7,TRUE
7,13,7,1,7,TRUE
7,14,8,1,8,TRUE
7,15,9,1,9,TRUE
7,16,8,1,8,TRUE
7,17,8,1,8,TRUE
7,18,10,1,10,TRUE
7,19,8,1,8,TRUE
7,20,5,1,5,TRUE
7,21,10,1,10,TRUE
7,22,7,1,7,TRUE
7,23,8,1,8,TRUE
7,24,6,1,6,TRUE
7,25,1,1,1,TRUE
8,1,10,1,10,TRUE
8,2,10,1,10,TRUE
8,3,8,1,8,TRUE
8,4,10,1,10,TRUE
8,5,10,1,10,TRUE
8,6,10,1,10,TRUE
8,7,7,1,7,TRUE
8,8,12,1,12,TRUE
8,9,10,1,10,TRUE
8,10,11,1,11,TRUE
8,11,8,1,8,TRUE
8,12,9,1,9,TRUE
8,13,11,1,11,TRUE
8,14,10,1,10,TRUE
8,15,10,1,10,TRUE
8,16,9,1,9,TRUE
8,17,8,1,8,TRUE
8,18,7,1,7,TRUE
8,19,8,1,8,TRUE
8,20,8,1,8,TRUE
8,21,9,1,9,TRUE
8,22,10,1,10,TRUE
8,23,9,1,9,TRUE
8,24,9,1,9,TRUE
