"cycle","meanMaxT","meanMinT","hotdays","meanPrec","noPrec","mMaxTY","mMinTY","mPrecY","mhotdaysY","mNoPrec","eMaxTY","eMinTY","ePrecY","eNoPrec","ehotdaysY","exthighTemp","extlowTemp","extlongHeat","extDry","extDryDays","extHot","extDryT"
1,25.75,13.8070588235294,20,3.94941176470588,238,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
2,25.1613698630137,13.2060273972603,20,4.30054794520548,267,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","Yes","No","No","No","No","No"
3,25.0865753424658,13.3534246575342,14,3.57835616438356,267,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
4,25.407397260274,14.207397260274,10,5.45232876712329,246,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
5,26.9016393442623,13.9516393442623,65,2.35355191256831,289,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","Yes","Yes","Yes","Yes","Yes"
6,26.6994520547945,13.398904109589,43,2.78958904109589,277,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","Yes","No","Yes"
7,25.6032876712329,13.793698630137,9,3.52821917808219,239,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
8,26.1596153846154,13.0401098901099,30,3.16785714285714,262,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","Yes","No","No","No","No","No"
9,26.0437158469945,13.6180327868852,48,3.71120218579235,260,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
10,26.2167123287671,13.2416438356164,58,2.29041095890411,264,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","Yes","No","Yes","No","No","Yes"
11,27.7838356164384,13.3975342465753,99,2.0786301369863,298,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"Yes","No","Yes","Yes","Yes","Yes","Yes"
